"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"WGN","WAGNERS HOLDING COMPANY LIMITED","2017-12-08","Materials",393113463
"WGO","WARREGO ENERGY LIMITED","2007-12-12","Energy",291637644
"WGX","WESTGOLD RESOURCES LIMITED.","2016-12-06","Materials",767677063
"WHC","WHITEHAVEN COAL LIMITED","2007-06-01","Energy",2158226445
"WHF","WHITEFIELD LIMITED","1971-08-02","Not Applic",550502620
"WHK","WHITEHAWK LIMITED","2018-01-24","Retailing",45414908
"WIC","WESTOZ INVESTMENT COMPANY LIMITED","2009-09-16","Not Applic",163765350
"WJA","WAMEJA LIMITED","2000-09-08","Software & Services",169519093
"WKT","WALKABOUT RESOURCES LTD","2006-11-07","Materials",89624440
"WLD","WELLARD LIMITED","2015-12-10","Food, Beverage & Tobacco",32937519
"WLE","WAM LEADERS LIMITED","2016-05-30","Not Applic",1273065687
"WLS","WCM GLOBAL LONG SHORT LIMITED","2015-08-14","Not Applic",23980456
"WMA","WAM ALTERNATIVE ASSETS LIMITED","2014-06-16","Not Applic",202659839
"WMC","WILUNA MINING CORPORATION LIMITED.","2006-09-28","Materials",157487090
"WMG","WESTERN MINES GROUP LTD","2021-07-20","Materials",7884000
"WMI","WAM MICROCAP LIMITED","2017-06-28","Not Applic",381336044
"WML","WOOMERA MINING LIMITED","2005-09-15","Materials",10494656
"WNB","WELLNESS AND BEAUTY SOLUTIONS LIMITED","2016-01-14","Consumer Services","N/A"
"WNR","WINGARA AG LTD","1990-01-31","Food, Beverage & Tobacco",16597784
"WNX","WELLNEX LIFE LIMITED","2017-03-15","Food, Beverage & Tobacco",39039756
"WOA","WIDE OPEN AGRICULTURE LTD","2018-07-06","Food, Beverage & Tobacco",90558859
"WOO","WOOBOARD TECHNOLOGIES LIMITED","2015-07-09","Software & Services",7644325
"WOR","WORLEY LIMITED","2002-11-28","Energy",5779355062
"WOT","WOTSO PROPERTY","2011-10-28","Real Estate",235421802
"WOW","WOOLWORTHS GROUP LIMITED","1993-07-12","Food & Staples Retailing",49349708594
"WPL","WOODSIDE PETROLEUM LTD","1971-11-18","Energy",21083127906
"WPR","WAYPOINT REIT","2016-08-03","Real Estate",2009656517
"WQG","WCM GLOBAL GROWTH LIMITED","2017-06-23","Not Applic",278616950
"WRM","WHITE ROCK MINERALS LIMITED","2010-10-08","Materials",43421055
"WSA","WESTERN AREAS LIMITED","2000-07-28","Materials",720480667
"WSI","WESTSTAR INDUSTRIAL LIMITED","2006-06-07","Materials",29264296
"WSP","WHISPIR LIMITED","2019-06-19","Software & Services",330858908
"WSR","WESTAR RESOURCES LIMITED","2020-12-17","Materials",8568705
"WTC","WISETECH GLOBAL LIMITED","2016-04-11","Software & Services",9871513999
"WTL","WT FINANCIAL GROUP LIMITED","2015-03-09","Diversified Financials",25245471
"WWG","WISEWAY GROUP LIMITED","2018-10-31","Transportation",47460194
"WWI","WEST WITS MINING LIMITED","2007-12-19","Materials",110732954
"WZR","WISR LIMITED","1989-03-16","Diversified Financials",368600944
"XAM","XANADU MINES LTD","2010-12-21","Materials",45202239
"XF1","XREF LIMITED","2007-04-18","Software & Services",85685346
"XRF","XRF SCIENTIFIC LIMITED","2006-10-31","Capital Goods",61898103
"XRO","XERO LIMITED","2012-11-08","Software & Services",20780681840
"XST","XSTATE RESOURCES LIMITED","1988-01-14","Energy",13447938
"XTC","XANTIPPE RESOURCES LIMITED","2007-08-15","Materials",8149129
"XTE","XTEK LIMITED.","2005-09-15","Capital Goods",31256086
"YAL","YANCOAL AUSTRALIA LIMITED","2012-06-28","Energy",2720105240
"YBR","YELLOW BRICK ROAD HOLDINGS LIMITED","2008-01-31","Banks",29509257
"YFZ","YOUFOODZ HOLDINGS LIMITED","2020-12-08","Food, Beverage & Tobacco",123783671
"YOJ","YOJEE LIMITED","2010-12-02","Software & Services",211378530
"YOW","YOWIE GROUP LTD","1999-09-15","Food, Beverage & Tobacco",9179852
"YPB","YPB GROUP LTD","2005-03-07","Commercial & Professional Services",9983641
"YRL","YANDAL RESOURCES LIMITED","2018-12-14","Materials",53233175
"Z1P","ZIP CO LIMITED.","2009-12-09","Diversified Financials",4260987075
"ZAG","ZULEIKA GOLD LIMITED","2010-08-23","Materials",12302801
"ZBT","ZEBIT INC.","2020-10-26","Retailing",87969230
"ZEL","Z ENERGY LIMITED.","2013-08-19","Energy",1379263660
"ZEO","ZEOTECH LIMITED","2009-10-16","Materials",104014083
"ZER","ZETA RESOURCES LIMITED","2013-06-12","Not Applic",203761464
"ZEU","ZEUS RESOURCES LIMITED","2013-01-21","Energy",18229200
"ZGL","ZICOM GROUP LIMITED","1970-11-12","Capital Goods",18022685
"ZIM","ZIMPLATS HOLDINGS LIMITED","1998-10-15","Materials",2387403055
"ZLD","ZELIRA THERAPEUTICS LIMITED","2003-07-28","Pharmaceuticals, Biotechnology & Life Sciences",58325825
"ZMI","ZINC OF IRELAND NL","2007-09-18","Materials",8601732
"ZMM","ZIMI LIMITED","2007-09-10","Technology Hardware & Equipment",10555747
"ZNC","ZENITH MINERALS LIMITED","2007-05-29","Materials",76533608
"ZNO","ZOONO GROUP LIMITED","1988-07-21","Materials",119616088
